Controle VAN 01 e 02 _ Fretamento _ OUTUBRO 25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Data,Nr Venda,Qtdade Pax,Horário,Início,Término,Serviços,Valor Custo Tarifário,Valor Van/Dia,OBservação,Acumulado Van 01,Rent Van 01,Acumulado Van 02,Rent Van 02,,,,,,,
,47639 / 47640 / 58437,8,07:00,,,In Regular Gig x ZSul,"R$ 308,00","-R$ 635,17",,,,,,,,,,,,
Van 01,53867,6,09:00,,,Tour de 06hrs,"R$ 707,00","-R$ 327,17",,,,,,,,,,,,
,58614,2,17:15,,,Out Privativo Zona sul x Gig,"R$ 77,00","R$ 379,83",,,,,,,,,,,,
,,,,,,,"R$ 1.092,00","R$ 456,83",,"R$ 1.092,00","R$ 456,83",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
01/10/25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,57224,4,06:30,,,Out Privativo Barra x Gig,"R$ 362,00","-R$ 635,17",,,,,,,,,,,,
,52490,4,07:20,,,In Privativo Gig x ZSul,"R$ 310,00","-R$ 273,17",,,,,,,,,,,,
,57781,8,10:40,,,Out Privativo Zona Sul x Gig,"R$ 310,00","R$ 36,83",,,,,,,,,,,,
Van 02,52894 / 52895,8,12:20,,,Out Regular ZSul x Gih,"R$ 231,00","R$ 346,83",,,,,,,,,,,,
,58030,2,15:10,,,Out Regular ZSul x Gig,"R$ 77,00","R$ 577,83",,,,"R$ 1.290,00","R$ 654,83",,,,,,,
,,,,,,,"R$ 1.290,00","R$ 654,83",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,59027,1,09:00,,,Transporte de Ida e volta Centro,"R$ 88,00","-R$ 635,17",,,,,,,,,,,,
,53867,7,11:30,,,Out Privativo ZSul x Gig,"R$ 310,00","-R$ 547,17",,,,,,,,,,,,
,54533,5,14:00,,,Out Privativo ZSul x Gig,"R$ 310,00","-R$ 237,17",,,,,,,,,,,,
,57763,4,17:25,,,In Regular Gig x Zsul,"R$ 154,00","R$ 72,83",,,,,,,,,,,,
,,,,,,,"R$ 862,00","R$ 226,83",,,,,,,,,,,,
,,,,,,,,,,"R$ 1.954,00","R$ 683,66",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
02/10/25,,,,,,,,,,,,,,,,,,,,
,56645,6,09:00,,,Out Privativo ZSul x Gig,"R$ 310,00","-R$ 635,17",,,,,,,,,,,,
,57611,4,10:40,,,In Privativo Gig x ZSul,"R$ 310,00","-R$ 325,17",,,,,,,,,,,,
,58494,4,12:40,,,Out Zsul x SDU - priv e reg juntos,"R$ 88,00","-R$ 15,17",PAXS são familiares,,,,,,,,,,,
,57199 / 58374 / 54526,6,13:00,,,In Regular SDU x Zsul,"R$ 132,00","R$ 72,83",,,,,,,,,,,,
,59100,2,13:30,,,In Regular SDU x Zsul,"R$ 44,00","R$ 204,83",,,,,,,,,,,,
,47344,3,16:00,,,In Privativo SDU x ZSul,"R$ 44,00","R$ 248,83",,,,,,,,,,,,
,53405,4,17:30,,,In Regular SDU x CENTRO,"R$ 80,00","R$ 292,83",,,,,,,,,,,,
,,,,,,,"R$ 1.008,00","R$ 372,83",,,,"R$ 2.298,00","R$ 1.027,66",,,,,,,
,,,,,,,,Hora extra,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,58824 / 58795 / 57763 / 53405,11,08:15,,,Tour Regular Intertouring,"R$ 793,00","-R$ 635,17",,,,,,,,,,,,
,,,,,,,,"R$ 157,83",,,,,,,,,,,,
,,,,,,,,,,"R$ 2.747,00","R$ 841,49",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,57476 / 58703,3,07:00,,,Out Privativo Zsul x Gig,"R$ 154,00","-R$ 635,17",Operação em 02 sedans - paxsaxs opatarm ir juntos,,,,,,,,,,,
03/10/25,57611,4,08:30,,,Tour de 04hrs,"R$ 707,00","-R$ 481,17",Veículo por 6horas,,,,,,,,,,,
,55244,2,15:40,,,In Regular Gig x zsul,"R$ 77,00","R$ 225,83",,,,,,,,,,,,
,,,,,,,"R$ 938,00","R$ 302,83",,,,,,,,,,,,
,,,,,,,,,,,,"R$ 3.236,00","R$ 1.330,49",,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,57462 / 56431 / 56333,10,08:00,,,Tour Regular Intertouring,"R$ 793,00","-R$ 635,17",,,,,,,,,,,,
,,,,,,,,"R$ 157,83",,,,,,,,,,,,
,,,,,,,,,,"R$ 3.540,00","R$ 999,32",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
04/10/25,56708,9,04:00,,,Out Privativo ZSul x Gig,"R$ 310,00","-R$ 635,17",,,,,,,,,,,,
,57828 / 48959 / 49953 / 53406 / 57742,9,08:20,,,Tour Reg Intertouing - 04hrs,"R$ 505,00","-R$ 325,17",,,,,,,,,,,,
,,,,,,,"R$ 815,00","R$ 179,83",,,,,,,,,,,,
,,,,,,,,,,,,"R$ 4.051,00","R$ 1.510,32",,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,53838,6,06:00,,,In Privativo GIG x Zsul,"R$ 310,00","-R$ 635,17",,,,,,,,,,,,
,52148 / 57684 / 58710,5,08:45,,,Tour Regular 04hrs - 05pxas,"R$ 340,00","-R$ 325,17",,,,,,,,,,,,
,52147,4,14:30,,,Out Regular ZSul x Gig,"R$ 154,00","R$ 14,83",1,,,,,,,,,,,
,57709,2,15:00,,,In Privativo GIG x Zsul,"R$ 77,00","R$ 168,83",,"R$ 4.421,00","R$ 1.245,15",,,,,,,,,
,,,,,,,"R$ 881,00","R$ 245,83",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
05/10/25,56731,7,06:30,,,Out Privativo ZSul x Goh,"R$ 310,00","-R$ 635,17",,,,,,,,,,,,
,53405,4,08:15,,,Out Regular Centro x SDU,"R$ 80,00","-R$ 325,17",,,,,,,,,,,,
,56472,8,10:00,,,In Privativo GIG x Zsul,"R$ 310,00","-R$ 245,17",2,,,,,,,,,,,
,47640,2,12:30,,,Out Regular ZSul x Gig,"R$ 77,00","R$ 64,83",,,,,,,,,,,,
,52680,10,14:30,,,In Privativo SDU x ZSul,"R$ 300,00","R$ 141,83",,,,"R$ 5.128,00","R$ 1.952,15",,,,,,,
,,,,,,,"R$ 1.077,00","R$ 441,83",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,56472 / 59163,13,08:20,,,Tour de 08hrs,"R$ 793,00","-R$ 635,17",,,,,,,,,,,,
,,,,,,,"R$ 793,00","R$ 157,83",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,"R$ 4.421,00","R$ 1.245,15",,,,,,,,,
,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
06/10/25,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,58091,9,05:05,,,In Privativo Gig x Barra,"R$ 362,00","-R$ 635,17",,,,,,,,,,,,
,58300,6,11:40,,,Out Privativo ZSul x Gig,"R$ 310,00","-R$ 273,17",,,,,,,,,,,,
,53607,4,12:50,,,In regular SDU x ZSUl,"R$ 88,00","R$ 36,83",2,,,,,,,,,,,
,48959,2,15:00,,,Out Centro x SDU,"R$ 40,00","R$ 124,83",,,,"R$ 5.928,00","R$ 2.116,98",,,,,,,
,,,,,,,"R$ 800,00","R$ 164,83",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
07/10/25,52680,10,08:00,,,Tour de 08hrs Reg,"R$ 793,00","-R$ 635,17",,,,,,,,,,,,
,,,,,,,,"R$ 157,83",,,,,,,,,,,,
,,,,,,,,,,"R$ 5.214,00","R$ 1.402,98",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,59121,5,09:00,,,Tour de 06hrs,"R$ 707,00","-R$ 635,17",,,,,,,,,,,,
,59121,5,14:00,,,Tour de 04HRS,"R$ 509,00","R$ 71,83",,,,,,,,,,,,
,,,,,,,,"R$ 580,83",,,,,,,,,,,,
,,,,,,,,,,,,"R$ 5.928,00","R$ 2.116,98",,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
08/10/25,57466,2,07:30,,,Ou Privativo Zsul x Gig,"R$ 310,00","-R$ 635,17",reserva em VAN,,,,,,,,,,,
,59124,8,10:00,,,In Privativo Barra x Gig Cortesia,"R$ 0,00","-R$ 325,17",,,,,,,,,,,,
,58950,4,15:00,,,In Privativo Gig x Zsul,"R$ 310,00","-R$ 325,17",,,,,,,,,,,,
,58567,2,17:40,,,In Privativo Gig x Zsul,"R$ 77,00","-R$ 15,17",1,,,,,,,,,,,
,,,,,,,"R$ 697,00","R$ 61,83",,"R$ 5.911,00","R$ 1.464,81",,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,50344,4,09:35,,,In Regular SDU x zSul,"R$ 88,00","-R$ 635,17",,,,,,,,,,,,
,51678,2,10:45,,,Transfer OUT Reg Zsul x SDU,"R$ 44,00","-R$ 547,17",,,,,,,,,,,,
,59059,5,11:30,,,SDU x Barra,"R$ 362,00","-R$ 503,17",2,,,,,,,,,,,
,58907,8,16:45,,,In Privativo Barra x Gig,"R$ 310,00","-R$ 141,17",não é cortesia - ,,,,,,,,,,,
,,,,,,,,"R$ 168,83",,,,"R$ 5.928,00","R$ 2.285,81",,,,,,,
,,,,,,,,"R$ 168,83",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
09/10/25,58303 / 59151,5,08:00,,,Tour Regular 08hrs,"R$ 635,17","-R$ 635,17","Venda 59151 - rentabilidade 15,92%",,,,,,,,,,,
,56828,2,09:00,,,Tour Corccovrdao Cortesia,"R$ 0,00","R$ 0,00",,,,,,,,,,,,
,,,,,,,,,,"R$ 6.546,17","R$ 1.464,81",,,,,,,,,
,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,54478 / 57458,4,12:35,,,In Regular Gig Centro e ZSul,"R$ 140,00","-R$ 635,17",,,,,,,,,,,,
,54153 / 54163,4,15:00,,,Out Regular ZSul x Gig,"R$ 154,00","-R$ 495,17",,,,,,,,,,,,
,58258,2,17:40,,,Out Privativo Zona Sul x SU,"R$ 44,00","-R$ 341,17",,,,,,,,,,,,
,59099,2,19:00,,,Out Regular ZSul x Gig,"R$ 77,00","-R$ 297,17",,,,,,,,,,,,
,58068,6,21:50,,,Out Privativo Zona Sul x Gig,"R$ 310,00","-R$ 220,17",2,,,,,,,,,,,
,,,,,,,"R$ 725,00","R$ 89,83",,,,"R$ 6.653,00","R$ 2.375,64",,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
10/10/25,56820 / 53288 / 55228 / 57126,8,08:15,,,Tour 08hrs Regular,"R$ 793,00","-R$ 635,17",,,,,,,,,,,,
,59363,4,08:30,,,Cortesia Tur Ct2,"R$ 0,00","R$ 157,83",,,,,,,,,,,,
,,,,,,,,,,"R$ 7.339,17","R$ 1.622,64",,,,,,,,,
,,,,,,,,,1,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,57525,4,06:15,,,Out Privativo ZSul x Gig,"R$ 310,00","-635,17",,,,,,,,,,,,"-R$ 635,17"
,57205,6,10:20,,,In Privativo GIG x Barra,"R$ 399,00","-R$ 325,17",,,,,,,,,,,,
,59209,1,13:00,,,Out Regular Barra x SDY,"R$ 81,00","R$ 73,83",,,,,,,,,,,,
,58971,4,15:40,,,In Regular Gig x ZSul,"R$ 154,00","R$ 154,83",2,,,"R$ 7.597,00","R$ 2.684,47",,,,,,,
,,,,,,,"R$ 944,00","R$ 308,83",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
11/10/2025,56286,4,05:45,,,In Privativo GIG x Centro,"R$ 310,00","-R$ 635,17",,,,,,,,,,,,
,48176,4,09:00,,,In privativo Porto x Centro,"R$ 300,00","-R$ 325,17",,,,,,,,,,,,
,58309,4,11:10,,,OutPrivativo ZSul x Gig,"R$ 310,00","-R$ 25,17",,,,,,,,,,,,
,54957,2,13:30,,,Out Privativo Zsul x gig ,"R$ 77,00","R$ 284,83",1,,,,,,,,,,,
,58058,2,14:25,,,In privativo SDU x Zoa sul,"R$ 44,00","R$ 361,83",,,,,,,,,,,,
,56003,4,14:00,,,In Regular SDU x ZSul,"R$ 88,00","R$ 405,83",,,,,,,,,,,,
,,,,,,,"R$ 1.129,00","R$ 493,83",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,58091,9,11:00,,,Out privativo Barra x Gig,"R$ 362,00","-R$ 635,17",,,,,,,,,,,,
,59322,1,12:00,,,In privativo Gig x Barra,"R$ 103,00","-R$ 273,17",,,,,,,,,,,,
,57455,3,15:20,,,Out privativo Barra x Gig,"R$ 103,00","-R$ 170,17",2,,,,,,,,,,,
,56248,4,18:00,,,In regular sdu x Sul,"R$ 88,00","-R$ 67,17",,,,,,,,,,,,
,58458,5,21:00,,,Out privativo Barra x Gig,"R$ 362,00","R$ 20,83",,,,,,,,,,,,
,,,,,,,"R$ 1.018,00","R$ 382,83",,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
12/10/25,57173,22,08:30,,,Van por 08hrs Apoio de Malas,"R$ 793,00","-R$ 635,17",Cris assume o custo da Van,,,,,,,,,,,
